source;target;message;trackingID;unknown
bank-service;balance-service;checkBalance;id-1626254420554;1626254420559
atm-terminal;terminal-proxy;depositRequest;id-1626254421914;1626254421914
terminal-proxy;bank-service;depositRequest;id-1626254421914;1626254421917
bank-service;balance-service;depositRequest;id-1626254421914;1626254421918
atm-terminal;terminal-proxy;printReceipt;id-1626254422287;1626254422287
terminal-proxy;bank-service;printReceipt;id-1626254422287;1626254422309
atm-terminal;terminal-proxy;authenticationRequest;id-1626254423623;1626254423623
terminal-proxy;bank-service;authenticationRequest;id-1626254423623;1626254423626
bank-service;auth-server;autenticationRequest;id-1626254423623;1626254423628
atm-terminal;terminal-proxy;checkBalance;id-1626254424755;1626254424755
terminal-proxy;bank-service;checkBalance;id-1626254424755;1626254424758
bank-service;balance-service;checkBalance;id-1626254424755;1626254424760
atm-terminal;terminal-proxy;withdrawalRequest;id-1626254426134;1626254426134
terminal-proxy;bank-service;withdrawalRequest;id-1626254426134;1626254426137
bank-service;balance-service;withdrawalRequest;id-1626254426134;1626254426139
atm-terminal;terminal-proxy;authenticationRequest;id-1626254427516;1626254427516
terminal-proxy;bank-service;authenticationRequest;id-1626254427516;1626254427519
bank-service;auth-server;autenticationRequest;id-1626254427516;1626254427528
atm-terminal;terminal-proxy;depositRequest;id-1626254428560;1626254428560
terminal-proxy;bank-service;depositRequest;id-1626254428560;1626254428563
bank-service;balance-service;depositRequest;id-1626254428560;1626254428565
atm-terminal;terminal-proxy;withdrawalRequest;id-1626254429619;1626254429619
terminal-proxy;bank-service;withdrawalRequest;id-1626254429619;1626254429622
bank-service;balance-service;withdrawalRequest;id-1626254429619;1626254429624
atm-terminal;terminal-proxy;printReceipt;id-1626254430038;1626254430038
terminal-proxy;bank-service;printReceipt;id-1626254430038;1626254430041
atm-terminal;terminal-proxy;authenticationRequest;id-1626254431360;1626254431360
terminal-proxy;bank-service;authenticationRequest;id-1626254431360;1626254431364
bank-service;auth-server;autenticationRequest;id-1626254431360;1626254431366
atm-terminal;terminal-proxy;checkBalance;id-1626254431815;1626254431815
terminal-proxy;bank-service;checkBalance;id-1626254431815;1626254431818
bank-service;balance-service;checkBalance;id-1626254431815;1626254431820
atm-terminal;terminal-proxy;depositRequest;id-1626254434281;1626254434281
terminal-proxy;bank-service;depositRequest;id-1626254434281;1626254434284
bank-service;balance-service;depositRequest;id-1626254434281;1626254434286
atm-terminal;terminal-proxy;printReceipt;id-1626254434727;1626254434727
terminal-proxy;bank-service;printReceipt;id-1626254434727;1626254434731
atm-terminal;terminal-proxy;authenticationRequest;id-1626254436296;1626254436296
terminal-proxy;bank-service;authenticationRequest;id-1626254436296;1626254436299
bank-service;auth-server;autenticationRequest;id-1626254436296;1626254436301
atm-terminal;terminal-proxy;withdrawalRequest;id-1626254437969;1626254437969
terminal-proxy;bank-service;withdrawalRequest;id-1626254437969;1626254437972
bank-service;balance-service;withdrawalRequest;id-1626254437969;1626254437974
atm-terminal;terminal-proxy;checkBalance;id-1626254438535;1626254438535
terminal-proxy;bank-service;checkBalance;id-1626254438535;1626254438537
bank-service;balance-service;checkBalance;id-1626254438535;1626254438539
atm-terminal;terminal-proxy;depositRequest;id-1626254439966;1626254439966
terminal-proxy;bank-service;depositRequest;id-1626254439966;1626254439970
bank-service;balance-service;depositRequest;id-1626254439966;1626254439971
atm-terminal;terminal-proxy;authenticationRequest;id-1626254442508;1626254442508
terminal-proxy;bank-service;authenticationRequest;id-1626254442508;1626254442511
bank-service;auth-server;autenticationRequest;id-1626254442508;1626254442513
atm-terminal;terminal-proxy;authenticationRequest;id-1626254464117;1626254464117
terminal-proxy;bank-service;authenticationRequest;id-1626254464117;1626254464120
bank-service;auth-server;autenticationRequest;id-1626254464117;1626254464122
atm-terminal;terminal-proxy;depositRequest;id-1626254465316;1626254465316
terminal-proxy;bank-service;depositRequest;id-1626254465316;1626254465318
bank-service;balance-service;depositRequest;id-1626254465316;1626254465320
atm-terminal;terminal-proxy;checkBalance;id-1626254465745;1626254465745
terminal-proxy;bank-service;checkBalance;id-1626254465745;1626254465748
bank-service;balance-service;checkBalance;id-1626254465745;1626254465750
atm-terminal;terminal-proxy;printReceipt;id-1626254468180;1626254468180
terminal-proxy;bank-service;printReceipt;id-1626254468180;1626254468183
atm-terminal;terminal-proxy;checkBalance;id-1626254468662;1626254468662
terminal-proxy;bank-service;checkBalance;id-1626254468662;1626254468665
bank-service;balance-service;checkBalance;id-1626254468662;1626254468667
atm-terminal;terminal-proxy;printReceipt;id-1626254469030;1626254469030
terminal-proxy;bank-service;printReceipt;id-1626254469030;1626254469032
atm-terminal;terminal-proxy;checkBalance;id-1626254469381;1626254469381
terminal-proxy;bank-service;checkBalance;id-1626254469381;1626254469384
bank-service;balance-service;checkBalance;id-1626254469381;1626254469386
atm-terminal;terminal-proxy;printReceipt;id-1626254469681;1626254469681
terminal-proxy;bank-service;printReceipt;id-1626254469681;1626254469684
atm-terminal;terminal-proxy;checkBalance;id-1626254470059;1626254470059
terminal-proxy;bank-service;checkBalance;id-1626254470059;1626254470063
bank-service;balance-service;checkBalance;id-1626254470059;1626254470064
atm-terminal;terminal-proxy;printReceipt;id-1626254470376;1626254470376
terminal-proxy;bank-service;printReceipt;id-1626254470376;1626254470379
atm-terminal;terminal-proxy;checkBalance;id-1626254470722;1626254470722
terminal-proxy;bank-service;checkBalance;id-1626254470722;1626254470725
bank-service;balance-service;checkBalance;id-1626254470722;1626254470728
atm-terminal;terminal-proxy;printReceipt;id-1626254471040;1626254471040
terminal-proxy;bank-service;printReceipt;id-1626254471040;1626254471044
atm-terminal;terminal-proxy;checkBalance;id-1626254471387;1626254471387
terminal-proxy;bank-service;checkBalance;id-1626254471387;1626254471390
bank-service;balance-service;checkBalance;id-1626254471387;1626254471392
atm-terminal;terminal-proxy;printReceipt;id-1626254471675;1626254471675
terminal-proxy;bank-service;printReceipt;id-1626254471675;1626254471678
atm-terminal;terminal-proxy;checkBalance;id-1626254472036;1626254472036
