Column1,Column2,Column3,Column4,Column5,Column6
"Jun 1, 2021 @ 09:07:05.590",Event,Betaling.BetalingProjector,e839779de4c041fda1b2adc0e5e27015,Betaling.BetalingAggregateRoot,Betaling.BetalingInitializedEvent
"Jun 1, 2021 @ 09:07:05.590",Event,Reconciliation.bankmutatie_betalingProjector,e839779de4c041fda1b2adc0e5e27015,Betaling.BetalingAggregateRoot,Betaling.Sync_Event
"Jun 1, 2021 @ 09:07:05.590",Event,BusinessActivityApi.InkoopfactuurBetalingChainProjector,e839779de4c041fda1b2adc0e5e27015,Betaling.BetalingAggregateRoot,Betaling.BetalingInitializedEvent
"Jun 1, 2021 @ 09:07:05.525",Event,Betaling.BetalingProcessRouter,e839779de4c041fda1b2adc0e5e27015,InputBetaling.InputBetalingProjector,Betaling.UpdateBetalingRequestedEvent
"Jun 1, 2021 @ 09:07:05.514",Event,InputBetaling.InputBetalingProjector,e839779de4c041fda1b2adc0e5e27015,InputBetaling.InputBetalingAggregateRoot,InputBetaling.InputBetalingDraftCompletedEvent
"Jun 1, 2021 @ 09:07:05.499",Event,InputBetaling.InputBetalingProcessRouter,e839779de4c041fda1b2adc0e5e27015,BusinessActivityApi.InkoopfactuurBetalingChainProjector,InputBetaling.InputBetalingDraftCompleteRequestedEvent
"Jun 1, 2021 @ 09:07:05.499",Event,InputBetaling.InputBetalingProjector,e839779de4c041fda1b2adc0e5e27015,InputBetaling.InputBetalingAggregateRoot,InputBetaling.InputBetalingUpdatedEvent
"Jun 1, 2021 @ 09:07:05.484",Event,InputBetaling.InputBetalingProcessRouter,e839779de4c041fda1b2adc0e5e27015,BusinessActivityApi.InkoopfactuurBetalingChainProjector,InputBetaling.InputBetalingUpdateRequestedEvent
"Jun 1, 2021 @ 09:07:05.430",Event,ChainTest.ChainTestProjector,e839779de4c041fda1b2adc0e5e27015,Inkoopfactuur.InkoopfactuurAggregateRoot,Inkoopfactuur.EndSync_Event
"Jun 1, 2021 @ 09:07:05.428",Event,ChainTest.ChainTestProjector,e839779de4c041fda1b2adc0e5e27015,Inkoopfactuur.InkoopfactuurAggregateRoot,Inkoopfactuur.Sync_Event
"Jun 1, 2021 @ 09:07:05.426",Event,Stream.Routing.Projector,e839779de4c041fda1b2adc0e5e27015,Inkoopfactuur.InkoopfactuurAggregateRoot,Inkoopfactuur.Sync_Event
"Jun 1, 2021 @ 09:07:05.426",Event,ChainTest.ChainTestProjector,e839779de4c041fda1b2adc0e5e27015,Inkoopfactuur.InkoopfactuurAggregateRoot,Inkoopfactuur.Sync_Event
"Jun 1, 2021 @ 09:07:05.425",Event,Routing.Projector,e839779de4c041fda1b2adc0e5e27015,Inkoopfactuur.InkoopfactuurAggregateRoot,Inkoopfactuur.Sync_Event
"Jun 1, 2021 @ 09:07:05.404",Event,Inkoopfactuur.InkoopfactuurProjector,e839779de4c041fda1b2adc0e5e27015,Inkoopfactuur.InkoopfactuurAggregateRoot,Inkoopfactuur.InkoopfactuurCreatedEvent
"Jun 1, 2021 @ 09:07:05.404",Event,BusinessActivityApi.InkoopfactuurBetalingChainProjector,e839779de4c041fda1b2adc0e5e27015,Inkoopfactuur.InkoopfactuurAggregateRoot,Inkoopfactuur.InkoopfactuurCreatedEvent
"Jun 1, 2021 @ 09:07:05.401",Event,ChainTest.ChainTestProjector,e839779de4c041fda1b2adc0e5e27015,Inkoopfactuur.InkoopfactuurAggregateRoot,Inkoopfactuur.StartSync_Event
